Team,Accuracy,F1-Score
Hamsasaeed99,90.71,89.78
mayarelmassry37-dev,89.42,88.27
yasser3atres,88.62,87.18
HM251253,86.38,85.67
mennadevhub,86.7,85.53
wessam400,85.9,84.98
yahia160,85.1,82.38
mennaelashry2,84.46,81.73
hanaelgawish,83.17,80.11
nairaAbase,80.13,75.38
Yousif2005,78.37,72.86
Nada1777,75.32,67.9
yhyaqenawy,74.84,67.21
yomnakassim19,72.92,63.17
